CRIM,CHAS,RM,AGE,DIS,TAX,LSTAT,MEDV
2.81838,0,5.762,40.3,4.0983,666,10.42,21.8
2.37857,0,5.871,41.9,3.724,666,13.34,20.6
3.67367,0,6.312,51.9,3.9917,666,10.58,21.2
5.69175,0,6.114,79.8,3.5459,666,14.98,19.1
4.83567,0,5.905,53.2,3.1523,666,11.45,20.6
0.15086,0,5.454,92.7,1.8209,711,18.06,15.2
0.18337,0,5.414,98.3,1.7554,711,23.97,7
0.20746,0,5.093,98,1.8226,711,29.68,8.1
0.10574,0,5.983,98.8,1.8681,711,18.07,13.6
0.11132,0,5.983,83.5,2.1099,711,13.35,20.1
0.17331,0,5.707,54,2.3817,391,12.01,21.8
0.27957,0,5.926,42.6,2.3817,391,13.59,24.5
0.17899,0,5.67,28.8,2.7986,391,17.6,23.1
0.2896,0,5.39,72.9,2.7986,391,21.14,19.7
0.26838,0,5.794,70.6,2.8927,391,14.1,18.3
0.23912,0,6.019,65.3,2.4091,391,12.92,21.2
0.17783,0,5.569,73.5,2.3999,391,15.1,17.5
0.22438,0,6.027,79.7,2.4982,391,14.33,16.8
0.06263,0,6.593,69.1,2.4786,273,NA,22.4
0.04527,0,6.12,76.7,2.2875,273,9.08,20.6
0.06076,0,6.976,91,2.1675,273,5.64,23.9
0.10959,0,6.794,89.3,2.3889,273,6.48,22
0.04741,0,6.03,NA,2.505,273,7.88,11.9
